Epic_ID,DPC,Epic_Name,CoD,Backlog,EconomicImpact_Income,EconomicImpact_CostsSaving,EconomicImpact_LossPrevention,Strategy_Value,UserExperience_FutureCustomerExperience_Value,PlatformUsage_FinalValue,Markets_Value,CustomerSatisfaction_Value,Critical_Event_value,Margin_to_deadline,Margin_to_deadline_value,WOWA_RankExponent_4_24.1,WOWA_RankExponent_4_24.1_scaled,WOWA_RankExponent_4_24.1_class,WOWA_RankExponent_4_24.1_fairCOD,CoD_class
LPM-282,24.1,Conversion Form Standarization (Phase 1: ES + UK + IE ),13.0,Websites,0.0,0.0,0.0,0.7,1.0,0.0,0.0,0.0,0.0,0.19651362063804226,0.006410115205850553,0.3798316986516665,0.4299917043329753,5,8,6
LPM-284,24.1,"Be found on Google with hreflang, site speed, img sitemaps & footer links",21.0,Websites,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.19651362063804226,0.006410115205850553,0.28822798166679386,0.29503206541588844,3,3,7
LPM-215,23.3,AI assistant in website,8.0,Websites,0.0,0.0,0.0,0.6,1.0,0.0,0.0,0.0,0.0,0.1960829749756736,0.008590876049078044,0.36701962050936154,0.41111568601432424,5,8,5
LPM-132,23.3,New homepage CUPRA,21.0,Websites,0.0,0.0,0.0,0.6,1.0,0.0,0.0,0.0,0.0,0.1960829749756736,0.008590876049078044,0.36701962050936154,0.41111568601432424,5,8,7
LPM-128,23.3,New PHYGITAL product discovery experience for CUPRA Tavascan,40.0,Websites,0.0,0.0,0.0,0.6,1.0,0.45,0.0,0.0,0.0,0.1960829749756736,0.008590876049078044,0.38820973165060024,0.4423350496205716,5,8,8
LPM-127,23.3,Retail integration & visibility in digital platforms ( 3D Remote + DGA + CUPRA retail websites) ,8.0,Websites,0.0,0.0,0.0,0.6,1.0,0.0,0.0,0.0,0.0,0.1960829749756736,0.008590876049078044,0.36701962050936154,0.41111568601432424,5,8,5
LPM-247,23.3,Status Updates in Private Area,13.0,Websites,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.1960829749756736,0.008590876049078044,0.28861679087886893,0.29560489753009134,3,3,6
LPM-4.1,23.3,Public / Home charging integration in digital platforms (WEB),13.0,Websites,0.0,1.0,0.0,0.8,1.0,0.0,0.0,0.056338028169014086,0.0,0.1960829749756736,0.008590876049078044,0.7667242467814833,1.0000000000000002,9,100,6
LPM-237,23.3,Charging@web: Tariff calculator,8.0,Websites,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.1960829749756736,0.008590876049078044,0.4195002148249184,0.48843527840762546,5,8,5
LPM-244,23.3,Charging@web: Home charging features,5.0,Websites,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.1960829749756736,0.008590876049078044,0.4195002148249184,0.48843527840762546,5,8,4
LPM-235,23.3,[AFTERSALES] Book an appointment,21.0,Websites,0.8940392373095765,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.1960829749756736,0.008590876049078044,0.6944350676672058,0.8934964449915649,7,21,7
LPM-54,23.3,Promote CONNECT Services,5.0,Websites,0.0,0.0,0.0,0.6,0.0,0.0,0.0,0.0,0.0,0.1960829749756736,0.008590876049078044,0.08797526879147974,0.0,1,1,4
LPM-65,23.3,Cupra Passport - Official Digital Certificate of the current vehicle status in Private Area,13.0,Websites,0.32595180526911643,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.1960829749756736,0.008590876049078044,0.4360463411597388,0.5128126651461202,5,8,6
