Epic_ID,DPC,Epic_Name,CoD,Backlog,EconomicImpact_Income,EconomicImpact_CostsSaving,EconomicImpact_LossPrevention,Strategy_Value,UserExperience_FutureCustomerExperience_Value,PlatformUsage_FinalValue,Markets_Value,CustomerSatisfaction_Value,Critical_Event_value,Margin_to_deadline,Margin_to_deadline_value,WOWA_RankExponent_4_24.2,WOWA_RankExponent_4_24.2_scaled,WOWA_RankExponent_4_24.2_class,WOWA_RankExponent_4_24.2_fairCOD,CoD_class
LPM-299,24.2,CUPRA Charging: THG Quota in MCA,3.0,OLA,0.07680634829742183,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.20515119984847288,0.0026653743639446503,0.04687626602672909,0.06674283570406449,2,2,3
LPM-184,24.2,PSP Boost,8.0,OLA,0.0,0.0,0.0,0.5,0.0,0.91,0.0,0.0,0.0,0.20515119984847288,0.0026653743639446503,0.13762414048087981,0.20125842619952852,5,8,5
LPM-297,24.2,ASS Improvements,8.0,OLA,0.0,0.0,0.0,0.5,0.0,0.75,0.0,0.0,0.0,0.20515119984847288,0.0026653743639446503,0.12614073590976702,0.1842365735547926,4,5,5
LPM-45,23.3,AutoIDENT,40.0,OLA,0.07420903217142207,0.0,0.0,0.7,1.0,0.0,0.0,0.0,0.0,0.20393420887332095,0.008590876049078044,0.40780253677970096,0.6017439112410035,6,13,8
LPM-46,23.3,Set-up Assistant for My CUPRA app,8.0,OLA,0.07420903217142207,0.0,0.0,0.9,0.0,0.6,0.0,0.0,0.0,0.20393420887332095,0.008590876049078044,0.20990645107682018,0.3084025080931703,5,8,5
LPM-137,23.3,Enrollment Improvements,21.0,OLA,0.07420903217142207,0.0,0.0,0.6,0.0,0.0,0.0,1.0,0.0,0.20393420887332095,0.008590876049078044,0.49963777943259735,0.7378713078114865,6,13,7
LPM-4.2,23.3,Public / Home charging integration in digital platforms (MCA),13.0,OLA,0.0,0.4052900752917071,0.0,0.8,1.0,0.0,0.0,0.056338028169014086,0.0,0.20393420887332095,0.008590876049078044,0.5422890937662094,0.8010933586584421,7,21,6
LPM-187,23.3,EV Route planner in digital platforms (MCA & WEB),13.0,OLA,0.0,0.0,0.0,0.9,1.0,0.0,0.0,0.7583892617449665,0.0,0.20393420887332095,0.008590876049078044,0.606778343825428,0.8966857855279913,7,21,6
LPM-235,23.3,[AFTERSALES] Book an appointment,21.0,OLA,0.7124067088456518,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.20393420887332095,0.008590876049078044,0.6118213799227774,0.9041610788349176,7,21,7
LPM-189,23.3,My CUPRA App - UX & Performance Improvements,21.0,OLA,0.0,0.0,0.0,0.9,0.0,0.0,0.0,0.5,0.0,0.20393420887332095,0.008590876049078044,0.3148630715428357,0.46397972533727766,5,8,7
LPM-197,23.3,Stabilize systems and prevent unauthorized 3rd party requests,100.0,OLA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7610141313383209,1.0,0.20393420887332095,0.008590876049078044,0.6542192341765869,0.9670074257603573,9,100,9
LPM-257,23.3,One Time Notification,21.0,OLA,0.0,0.9141881397557302,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.20393420887332095,0.008590876049078044,0.512599267632049,0.7570841240822423,6,13,7
LPM-224,23.3,[AFTERSALES] Breakdown section in App,2.0,OLA,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.20393420887332095,0.008590876049078044,0.28861679087886893,0.4250748588259752,5,8,2
LPM-56,23.3,Success Rate integration,8.0,OLA,0.0,0.0,0.025432158992656106,0.0,0.0,0.0,0.0,1.0,0.0,0.0008957777437921234,0.997180430424918,0.5637937846221538,0.8329697657512747,7,21,5
LPM-231,23.3,[AFTERSALES] Workshop section in app,8.0,OLA,0.46306436074967366,0.0,0.0,0.0,1.0,0.0,0.716821188135962,0.0028882093102276588,0.0,0.20393420887332095,0.008590876049078044,0.6764769217352592,1.0,9,100,5
LPM-179,23.3,[AFTERSALES] Offers section,8.0,OLA,0.3562033544228259,0.0,0.0,0.0,1.0,0.0,0.7156,0.0,0.0,0.20393420887332095,0.008590876049078044,0.6516162273416165,0.9631489882644281,9,100,5
LPM-230,23.3,[AFTERSALES] My vehicle section in app,13.0,OLA,0.3491831799794094,0.0,0.0,0.0,0.0,0.0,0.7261092623713251,0.06710839279646619,0.0,0.20393420887332095,0.008590876049078044,0.49303155604048193,0.7280789016986102,6,13,6
LPM-199,23.3,[MOD4] EV statistics for MCA (MVP),8.0,OLA,0.0,0.0,0.0,0.45,0.0,0.0,0.0,0.35,0.0,0.20393420887332095,0.008590876049078044,0.19493057303821726,0.28620376140441434,5,8,5
LPM-251,23.3,CUPRA TRIBE MVP - App,13.0,OLA,0.0,0.0,0.0,0.7,1.0,0.0,0.0,0.0,0.0,0.20393420887332095,0.008590876049078044,0.38013976908825076,0.5607393857561195,6,13,6
LPM-259,23.4,"[AFTERSALES] Sales, Aftersales & GQ CEM survey in APP",1.0,OLA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.20393420887332095,0.008590876049078044,0.0018497345081339132,0.0,1,1,1
LPM-258,23.4,[AFTERSALES] Pick up time calculation for online book an appointment,5.0,OLA,0.08257239009714133,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.20393420887332095,0.008590876049078044,0.05100161260880264,0.07285783767875467,2,2,4
LPM-238,23.4,CUPRA Parking service in MCA [MOD3][MOD4],5.0,OLA,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.20393420887332095,0.008590876049078044,0.28861679087886893,0.4250748588259752,5,8,4
CCC-195,23.4,CUPRA Parking service [MOD3],13.0,OLA,0.0,0.0,0.988616481735903,0.0,1.0,0.0,0.0,0.0,0.0,0.20393420887332095,0.008590876049078044,0.5575139838448874,0.8236612159386325,7,21,6
LPM-278,24.1,[APP] Failure Identification System,8.0,OLA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.48,0.0,0.204382097745217,0.006410115205850553,0.20168311030098557,0.29621304859386605,5,8,5
CCC-287,24.1,CUPRA Parking service [MOD4],13.0,OLA,0.0,0.0,0.14829247226038544,0.0,1.0,0.0,0.0,0.0,0.0,0.204382097745217,0.006410115205850553,0.3282823394697317,0.4838711085797056,5,8,6
